"method","dataset","selection","group","instance","auc","bedroc_20","ef_0.05","ef_0.01","ef_0.005"
"method_rdkit_maccs_tanimoto","10.1021%2Fci2005274","random_02_30_100_20_4900_M","CHK1","002","0.9007560277891122","0.7112792771575204","13.982926829268294","63.882000000000005","117.93599999999999"
"method_rdkit_maccs_tanimoto","10.1021%2Fci2005274","random_02_30_100_20_4900_M","CHK1","003","0.8823601469987843","0.6745465281587358","12.994715447154471","59.016","108.196"
"method_rdkit_maccs_tanimoto","10.1021%2Fci2005274","random_02_30_100_20_4900_M","CHK1","004","0.8934449663058657","0.6791314711141015","15.990243902439024","44.253","39.336"
"method_rdkit_maccs_tanimoto","10.1021%2Fci2005274","random_02_30_100_20_4900_M","CHK1","005","0.9087688852593103","0.6942813550330909","13.99430894308943","59.016","98.36"
"method_rdkit_maccs_tanimoto","10.1021%2Fci2005274","random_02_30_100_20_4900_M","CHK1","006","0.890819035947668","0.6469853704896283","12.989430894308944","54.076","98.32000000000001"
"method_rdkit_maccs_tanimoto","10.1021%2Fci2005274","random_02_30_100_20_4900_M","CHK1","007","0.8461585615038391","0.6773138860140356","13.982926829268294","63.882000000000005","108.10799999999999"
"method_rdkit_maccs_tanimoto","10.1021%2Fci2005274","random_02_30_100_20_4900_M","CHK1","008","0.8199428454786315","0.567820724562049","11.997560975609755","44.271","68.866"
"method_rdkit_maccs_tanimoto","10.1021%2Fci2005274","random_02_30_100_20_4900_M","CHK1","009","0.7740302164148809","0.5150808774613288","9.995934959349594","39.344","68.852"
"method_rdkit_maccs_tanimoto","10.1021%2Fci2005274","random_02_30_100_20_4900_M","CHK1","010","0.8946202531645786","0.6745523597121378","12.994715447154471","49.18","88.524"
"method_rdkit_maccs_tanimoto","10.1021%2Fci5005515","random_02_30_100_20_4900_M","HDAC01","001","0.7583775510203715","0.3140010333753905","8.0","4.92","0.0"
"method_rdkit_maccs_tanimoto","10.1021%2Fci5005515","random_02_30_100_20_4900_M","HDAC01","002","0.641326530612243","0.16993421156028277","3.0","4.92","9.84"
"method_rdkit_maccs_tanimoto","10.1021%2Fci5005515","random_02_30_100_20_4900_M","HDAC01","003","0.8194285714285354","0.48181532612045347","11.0","24.6","29.52"
"method_rdkit_maccs_tanimoto","10.1021%2Fci5005515","random_02_30_100_20_4900_M","HDAC01","004","0.8079183673469248","0.3069552595086995","6.0","14.76","29.52"
"method_rdkit_maccs_tanimoto","10.1021%2Fci5005515","random_02_30_100_20_4900_M","HDAC01","005","0.7479081632652739","0.26078092484939713","6.0","9.84","19.68"
"method_rdkit_maccs_tanimoto","10.1021%2Fci5005515","random_02_30_100_20_4900_M","HDAC01","006","0.7882551020407813","0.3820821872108849","7.0","24.6","39.36"
"method_rdkit_maccs_tanimoto","10.1021%2Fci5005515","random_02_30_100_20_4900_M","HDAC01","007","0.7023877551020014","0.23003676088199757","7.0","0.0","0.0"
"method_rdkit_maccs_tanimoto","10.1021%2Fci5005515","random_02_30_100_20_4900_M","HDAC01","008","0.8233979591836623","0.2980878663381104","8.0","4.92","9.84"
"method_rdkit_maccs_tanimoto","10.1021%2Fci5005515","random_02_30_100_20_4900_M","HDAC01","009","0.7621122448979502","0.22486436214691924","4.0","14.76","29.52"
"method_rdkit_maccs_tanimoto","10.1021%2Fci5005515","random_02_30_100_20_4900_M","HDAC01","010","0.7845510204081299","0.309821460959331","8.0","9.84","19.68"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","DHFR","001","0.9992535368136686","0.9861052450251203","19.91517857142857","93.91578947368421","163.33180778032036"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","DHFR","002","0.9989011134501066","0.979618424803579","20.0","99.11111111111111","148.28644501278774"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","DHFR","003","0.9985373537353736","0.9731988259377661","19.928571428571427","89.28","155.2695652173913"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","DHFR","004","0.9875507156356111","0.9252152352269255","18.77310924369748","93.4483660130719","137.1253196930946"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","DHFR","005","0.9979818491776975","0.9665021342070625","19.955156950672645","93.39506172839506","161.23188405797103"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","DHFR","006","0.9985821953585553","0.974075506824411","19.933333333333334","94.12962962962962","151.66666666666666"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","DHFR","007","0.9922332282755515","0.918971079639541","17.927678571428572","89.24","155.2"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","DHFR","008","0.9914925195128738","0.8997613913942449","17.631231864943288","87.37254901960785","125.36061381074168"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","DHFR","009","0.9979716024340771","0.9634486151492045","19.986547085201796","89.14","145.33695652173913"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","DHFR","010","0.9973265372410864","0.9578710536113344","19.93303571428571","93.70987654320987","140.20531400966183"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","P38","001","0.9572574013157763","0.7846745595830834","16.944489795918365","59.80408163265306","107.44800000000001"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","P38","002","0.9910004717494647","0.8780561034478754","18.823529411764707","76.15846338535414","137.78823529411764"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","P38","003","0.9812975529508529","0.8403266497372962","16.941020408163265","74.73979591836735","136.724"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","P38","004","0.9787757201646096","0.7808394030469987","17.0","64.73469387755102","87.84"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","P38","005","0.9606135474572749","0.7319633238464325","14.99077868852459","54.74183673469388","107.29400000000001"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","P38","006","0.9881844380403488","0.9227357972920732","18.9922131147541","84.61836734693877","146.34"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","P38","007","0.9836257309941532","0.8363833005380046","17.89106988783434","73.36842105263158","143.80210526315787"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","P38","008","0.9865418943041064","0.8557505462081595","17.836305048335124","78.68958109559613","123.38526315789474"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","P38","009","0.9731344727897339","0.8102238286848134","17.647058823529413","64.44177671068428","114.82352941176471"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm300687e","random_02_30_100_20_4900_M","P38","010","0.992762571173766","0.9384877774076335","18.877276867030968","94.00113378684807","151.7288888888889"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm500132p","random_02_30_100_20_4900_M","PXR_Agonist","001","0.8859920028608451","0.798061024701136","15.776531492666091","78.5606874328679","153.97894736842105"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm500132p","random_02_30_100_20_4900_M","PXR_Agonist","002","0.8772561938096345","0.8118249926610271","16.649590163934427","77.38095238095238","151.66666666666666"
"method_rdkit_maccs_tanimoto","10.1021%2Fjm500132p","random_02_30_100_20_4900_M","PXR_Agonist","003","0.8887081734001107","0.6814399785741689","13.664581535806729","62.80988184747583","123.10736842105263"
